,Company Name,Form Type,CIK,Date Filed,URL
31,"Diamondback Energy, Inc.",10-K,1539838,20190225,http://www.sec.gov/Archives/edgar/data/1539838/0001539838-19-000008-index.htm
32,"Digital Realty Trust, Inc.",10-K,1297996,20190225,http://www.sec.gov/Archives/edgar/data/1297996/0001297996-19-000032-index.htm
33,"Digital Realty Trust, L.P.",10-K,1494877,20190225,http://www.sec.gov/Archives/edgar/data/1494877/0001297996-19-000032-index.htm
34,ENCORE WIRE CORP,10-K,850460,20190225,http://www.sec.gov/Archives/edgar/data/850460/0000850460-19-000006-index.htm
35,"ENPRO INDUSTRIES, INC",10-K,1164863,20190225,http://www.sec.gov/Archives/edgar/data/1164863/0001164863-19-000007-index.htm
36,FRANK'S INTERNATIONAL N.V.,10-K,1575828,20190225,http://www.sec.gov/Archives/edgar/data/1575828/0001575828-19-000007-index.htm
37,"FireEye, Inc.",10-K,1370880,20190225,http://www.sec.gov/Archives/edgar/data/1370880/0001370880-19-000006-index.htm
38,"Five9, Inc.",10-K,1288847,20190225,http://www.sec.gov/Archives/edgar/data/1288847/0001288847-19-000021-index.htm
39,"Floor & Decor Holdings, Inc.",10-K,1507079,20190225,http://www.sec.gov/Archives/edgar/data/1507079/0001558370-19-000956-index.htm
40,"Fortune Brands Home & Security, Inc.",10-K,1519751,20190225,http://www.sec.gov/Archives/edgar/data/1519751/0001193125-19-049951-index.htm
41,GATX CORP,10-K,40211,20190225,http://www.sec.gov/Archives/edgar/data/40211/0000040211-19-000020-index.htm
42,GENUINE PARTS CO,10-K,40987,20190225,http://www.sec.gov/Archives/edgar/data/40987/0000040987-19-000015-index.htm
43,GEO GROUP INC,10-K,923796,20190225,http://www.sec.gov/Archives/edgar/data/923796/0001193125-19-050054-index.htm
44,GLATFELTER P H CO,10-K,41719,20190225,http://www.sec.gov/Archives/edgar/data/41719/0001564590-19-004077-index.htm
45,"GenMark Diagnostics, Inc.",10-K,1487371,20190225,http://www.sec.gov/Archives/edgar/data/1487371/0001487371-19-000055-index.htm
46,Golden State Water CO,10-K,92116,20190225,http://www.sec.gov/Archives/edgar/data/92116/0001056903-19-000004-index.htm
47,Graham Holdings Co,10-K,104889,20190225,http://www.sec.gov/Archives/edgar/data/104889/0000104889-19-000013-index.htm
48,HEALTHSTREAM INC,10-K,1095565,20190225,http://www.sec.gov/Archives/edgar/data/1095565/0001564590-19-004096-index.htm
49,HERTZ CORP,10-K,47129,20190225,http://www.sec.gov/Archives/edgar/data/47129/0001657853-19-000005-index.htm
50,"HERTZ GLOBAL HOLDINGS, INC",10-K,1657853,20190225,http://www.sec.gov/Archives/edgar/data/1657853/0001657853-19-000005-index.htm
51,HMS HOLDINGS CORP,10-K,1196501,20190225,http://www.sec.gov/Archives/edgar/data/1196501/0001171843-19-001183-index.htm
52,"INTERPUBLIC GROUP OF COMPANIES, INC.",10-K,51644,20190225,http://www.sec.gov/Archives/edgar/data/51644/0000051644-19-000009-index.htm
53,IRONWOOD PHARMACEUTICALS INC,10-K,1446847,20190225,http://www.sec.gov/Archives/edgar/data/1446847/0001558370-19-001005-index.htm
54,Ingredion Inc,10-K,1046257,20190225,http://www.sec.gov/Archives/edgar/data/1046257/0001558370-19-000999-index.htm
55,KAMAN Corp,10-K,54381,20190225,http://www.sec.gov/Archives/edgar/data/54381/0000054381-19-000009-index.htm
56,KELLOGG CO,10-K,55067,20190225,http://www.sec.gov/Archives/edgar/data/55067/0001628280-19-001864-index.htm
57,KEYCORP /NEW/,10-K,91576,20190225,http://www.sec.gov/Archives/edgar/data/91576/0000091576-19-000009-index.htm
58,LAMAR ADVERTISING CO/NEW,10-K,1090425,20190225,http://www.sec.gov/Archives/edgar/data/1090425/0001564590-19-004025-index.htm
59,LAMAR MEDIA CORP/DE,10-K,899045,20190225,http://www.sec.gov/Archives/edgar/data/899045/0001564590-19-004025-index.htm
60,LITHIA MOTORS INC,10-K,1023128,20190225,http://www.sec.gov/Archives/edgar/data/1023128/0001023128-19-000042-index.htm
61,LIVEPERSON INC,10-K,1102993,20190225,http://www.sec.gov/Archives/edgar/data/1102993/0001102993-19-000016-index.htm
62,MACERICH CO,10-K,912242,20190225,http://www.sec.gov/Archives/edgar/data/912242/0000912242-19-000004-index.htm
63,MARTIN MARIETTA MATERIALS INC,10-K,916076,20190225,http://www.sec.gov/Archives/edgar/data/916076/0001193125-19-049961-index.htm
64,MCDERMOTT INTERNATIONAL INC,10-K,708819,20190225,http://www.sec.gov/Archives/edgar/data/708819/0001564590-19-003980-index.htm
65,MELT INC,10-K,1267612,20190225,http://www.sec.gov/Archives/edgar/data/1267612/0001615774-19-002960-index.htm
66,MIDAMERICAN ENERGY CO,10-K,928576,20190225,http://www.sec.gov/Archives/edgar/data/928576/0001081316-19-000003-index.htm
67,MIDAMERICAN FUNDING LLC,10-K,1098296,20190225,http://www.sec.gov/Archives/edgar/data/1098296/0001081316-19-000003-index.htm
68,"MOJO Organics, Inc.",10-K,1414953,20190225,http://www.sec.gov/Archives/edgar/data/1414953/0001607062-19-000091-index.htm
69,MOODYS CORP /DE/,10-K,1059556,20190225,http://www.sec.gov/Archives/edgar/data/1059556/0001193125-19-048576-index.htm
70,"MedEquities Realty Trust, Inc.",10-K,1616314,20190225,http://www.sec.gov/Archives/edgar/data/1616314/0001564590-19-004100-index.htm
71,Monotype Imaging Holdings Inc.,10-K,1385292,20190225,http://www.sec.gov/Archives/edgar/data/1385292/0001193125-19-049831-index.htm
72,NANOMETRICS INC,10-K,704532,20190225,http://www.sec.gov/Archives/edgar/data/704532/0001564590-19-004083-index.htm
73,NEVADA POWER CO,10-K,71180,20190225,http://www.sec.gov/Archives/edgar/data/71180/0001081316-19-000003-index.htm
74,NEW YORK MORTGAGE TRUST INC,10-K,1273685,20190225,http://www.sec.gov/Archives/edgar/data/1273685/0001273685-19-000020-index.htm
75,"National CineMedia, LLC",10-K,1527190,20190225,http://www.sec.gov/Archives/edgar/data/1527190/0001527190-19-000003-index.htm
76,National General Holdings Corp.,10-K,1578735,20190225,http://www.sec.gov/Archives/edgar/data/1578735/0001578735-19-000009-index.htm
77,OLIN CORP,10-K,74303,20190225,http://www.sec.gov/Archives/edgar/data/74303/0000074303-19-000018-index.htm
78,Orthofix Medical Inc.,10-K,884624,20190225,http://www.sec.gov/Archives/edgar/data/884624/0001564590-19-004093-index.htm
79,PACIFICORP /OR/,10-K,75594,20190225,http://www.sec.gov/Archives/edgar/data/75594/0001081316-19-000003-index.htm
80,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,10-K,77281,20190225,http://www.sec.gov/Archives/edgar/data/77281/0000077281-19-000017-index.htm
81,PGI INC,10-K,81157,20190225,http://www.sec.gov/Archives/edgar/data/81157/0001654954-19-001940-index.htm
82,"QTS Realty Trust, Inc.",10-K,1577368,20190225,http://www.sec.gov/Archives/edgar/data/1577368/0001558370-19-000991-index.htm
83,"QualityTech, LP",10-K,1561164,20190225,http://www.sec.gov/Archives/edgar/data/1561164/0001558370-19-000991-index.htm
84,RANGE RESOURCES CORP,10-K,315852,20190225,http://www.sec.gov/Archives/edgar/data/315852/0001564590-19-004113-index.htm
85,ROPER TECHNOLOGIES INC,10-K,882835,20190225,http://www.sec.gov/Archives/edgar/data/882835/0000882835-19-000010-index.htm
86,RUSH ENTERPRISES INC \TX\,10-K,1012019,20190225,http://www.sec.gov/Archives/edgar/data/1012019/0001437749-19-003282-index.htm
87,SAIA INC,10-K,1177702,20190225,http://www.sec.gov/Archives/edgar/data/1177702/0001564590-19-004105-index.htm
88,SEI INVESTMENTS CO,10-K,350894,20190225,http://www.sec.gov/Archives/edgar/data/350894/0000350894-19-000012-index.htm
89,SIERRA PACIFIC POWER CO,10-K,90144,20190225,http://www.sec.gov/Archives/edgar/data/90144/0001081316-19-000003-index.htm
90,"Sabra Health Care REIT, Inc.",10-K,1492298,20190225,http://www.sec.gov/Archives/edgar/data/1492298/0001492298-19-000006-index.htm
91,Shake Shack Inc.,10-K,1620533,20190225,http://www.sec.gov/Archives/edgar/data/1620533/0001620533-19-000010-index.htm
92,SolarWinds Corp,10-K,1739942,20190225,http://www.sec.gov/Archives/edgar/data/1739942/0001739942-19-000010-index.htm
93,TELEDYNE TECHNOLOGIES INC,10-K,1094285,20190225,http://www.sec.gov/Archives/edgar/data/1094285/0001094285-19-000064-index.htm
94,"TEMPUR SEALY INTERNATIONAL, INC.",10-K,1206264,20190225,http://www.sec.gov/Archives/edgar/data/1206264/0001206264-19-000047-index.htm
95,TENET HEALTHCARE CORP,10-K,70318,20190225,http://www.sec.gov/Archives/edgar/data/70318/0000070318-19-000017-index.htm
96,TEREX CORP,10-K,97216,20190225,http://www.sec.gov/Archives/edgar/data/97216/0000097216-19-000024-index.htm
97,"Under Armour, Inc.",10-K,1336917,20190225,http://www.sec.gov/Archives/edgar/data/1336917/0001336917-19-000011-index.htm
98,"United States Oil Fund, LP",10-K,1327068,20190225,http://www.sec.gov/Archives/edgar/data/1327068/0001144204-19-009786-index.htm
99,VALERO ENERGY PARTNERS LP,10-K,1583103,20190225,http://www.sec.gov/Archives/edgar/data/1583103/0001583103-19-000003-index.htm
100,VBI Vaccines Inc/BC,10-K,764195,20190225,http://www.sec.gov/Archives/edgar/data/764195/0001493152-19-002481-index.htm
101,VEECO INSTRUMENTS INC,10-K,103145,20190225,http://www.sec.gov/Archives/edgar/data/103145/0001558370-19-000983-index.htm
102,"VERACYTE, INC.",10-K,1384101,20190225,http://www.sec.gov/Archives/edgar/data/1384101/0001384101-19-000010-index.htm
103,VISTA GOLD CORP,10-K,783324,20190225,http://www.sec.gov/Archives/edgar/data/783324/0000783324-19-000004-index.htm
104,W. P. Carey Inc.,10-K,1025378,20190225,http://www.sec.gov/Archives/edgar/data/1025378/0001025378-19-000008-index.htm
105,WELLTOWER INC.,10-K,766704,20190225,http://www.sec.gov/Archives/edgar/data/766704/0000766704-19-000014-index.htm
106,Wayfair Inc.,10-K,1616707,20190225,http://www.sec.gov/Archives/edgar/data/1616707/0001616707-19-000042-index.htm
107,XEROX CORP,10-K,108772,20190225,http://www.sec.gov/Archives/edgar/data/108772/0000108772-19-000011-index.htm
108,BRIDGFORD FOODS CORP,10-K,14177,20190118,http://www.sec.gov/Archives/edgar/data/14177/0001493152-19-000765-index.htm
109,"China WuYi Mountain, Ltd.",10-K,1687065,20190118,http://www.sec.gov/Archives/edgar/data/1687065/0001079974-19-000022-index.htm
110,IHS Markit Ltd.,10-K,1598014,20190118,http://www.sec.gov/Archives/edgar/data/1598014/0001598014-19-000017-index.htm
111,AIMCO PROPERTIES L.P.,10-K,926660,20190220,http://www.sec.gov/Archives/edgar/data/926660/0000922864-19-000007-index.htm
112,ALABAMA POWER CO,10-K,3153,20190220,http://www.sec.gov/Archives/edgar/data/3153/0000092122-19-000006-index.htm
113,ALLEGHANY CORP /DE,10-K,775368,20190220,http://www.sec.gov/Archives/edgar/data/775368/0001193125-19-045528-index.htm
114,APARTMENT INVESTMENT & MANAGEMENT CO,10-K,922864,20190220,http://www.sec.gov/Archives/edgar/data/922864/0000922864-19-000007-index.htm
115,AT&T INC.,10-K,732717,20190220,http://www.sec.gov/Archives/edgar/data/732717/0001193125-19-045608-index.htm
116,AVISTA CORP,10-K,104918,20190220,http://www.sec.gov/Archives/edgar/data/104918/0000104918-19-000053-index.htm
117,Ally Financial Inc.,10-K,40729,20190220,http://www.sec.gov/Archives/edgar/data/40729/0000040729-19-000010-index.htm
118,"Anthem, Inc.",10-K,1156039,20190220,http://www.sec.gov/Archives/edgar/data/1156039/0001156039-19-000004-index.htm
119,"Archrock Partners, L.P.",10-K,1367064,20190220,http://www.sec.gov/Archives/edgar/data/1367064/0001367064-19-000003-index.htm
120,"Archrock, Inc.",10-K,1389050,20190220,http://www.sec.gov/Archives/edgar/data/1389050/0001389050-19-000021-index.htm
121,Artisan Partners Asset Management Inc.,10-K,1517302,20190220,http://www.sec.gov/Archives/edgar/data/1517302/0001517302-19-000012-index.htm
122,BELDEN INC.,10-K,913142,20190220,http://www.sec.gov/Archives/edgar/data/913142/0000913142-19-000004-index.htm
123,BLACKBAUD INC,10-K,1280058,20190220,http://www.sec.gov/Archives/edgar/data/1280058/0001280058-19-000007-index.htm
124,BOSTON BEER CO INC,10-K,949870,20190220,http://www.sec.gov/Archives/edgar/data/949870/0001193125-19-045425-index.htm
125,Bausch Health Companies Inc.,10-K,885590,20190220,http://www.sec.gov/Archives/edgar/data/885590/0000885590-19-000006-index.htm
126,"Blake Insomnia Therapeutics, Inc.",10-K,1556416,20190220,http://www.sec.gov/Archives/edgar/data/1556416/0001477932-19-000575-index.htm
127,CAPITAL ONE FINANCIAL CORP,10-K,927628,20190220,http://www.sec.gov/Archives/edgar/data/927628/0000927628-19-000093-index.htm
128,CAREER EDUCATION CORP,10-K,1046568,20190220,http://www.sec.gov/Archives/edgar/data/1046568/0001564590-19-003457-index.htm
129,CIMAREX ENERGY CO,10-K,1168054,20190220,http://www.sec.gov/Archives/edgar/data/1168054/0001168054-19-000006-index.htm
130,CONCHO RESOURCES INC,10-K,1358071,20190220,http://www.sec.gov/Archives/edgar/data/1358071/0001358071-19-000003-index.htm
131,"Coeur Mining, Inc.",10-K,215466,20190220,http://www.sec.gov/Archives/edgar/data/215466/0000215466-19-000057-index.htm
132,DEVON ENERGY CORP/DE,10-K,1090012,20190220,http://www.sec.gov/Archives/edgar/data/1090012/0001564590-19-003382-index.htm
133,Discover Financial Services,10-K,1393612,20190220,http://www.sec.gov/Archives/edgar/data/1393612/0001393612-19-000011-index.htm
134,E TRADE FINANCIAL CORP,10-K,1015780,20190220,http://www.sec.gov/Archives/edgar/data/1015780/0001015780-19-000060-index.htm
135,Elanco Animal Health Inc,10-K,1739104,20190220,http://www.sec.gov/Archives/edgar/data/1739104/0001739104-19-000006-index.htm
136,"EnLink Midstream Partners, LP",10-K,1179060,20190220,http://www.sec.gov/Archives/edgar/data/1179060/0001179060-19-000008-index.htm
137,"EnLink Midstream, LLC",10-K,1592000,20190220,http://www.sec.gov/Archives/edgar/data/1592000/0001592000-19-000007-index.htm
138,FIRST CITIZENS BANCSHARES INC /DE/,10-K,798941,20190220,http://www.sec.gov/Archives/edgar/data/798941/0000798941-19-000009-index.htm
139,FIRST INDUSTRIAL LP,10-K,1033128,20190220,http://www.sec.gov/Archives/edgar/data/1033128/0000921825-19-000003-index.htm
140,FIRST INDUSTRIAL REALTY TRUST INC,10-K,921825,20190220,http://www.sec.gov/Archives/edgar/data/921825/0000921825-19-000003-index.htm
141,FLOWERS FOODS INC,10-K,1128928,20190220,http://www.sec.gov/Archives/edgar/data/1128928/0001564590-19-003388-index.htm
142,FLOWSERVE CORP,10-K,30625,20190220,http://www.sec.gov/Archives/edgar/data/30625/0000030625-19-000009-index.htm
143,FORWARD AIR CORP,10-K,912728,20190220,http://www.sec.gov/Archives/edgar/data/912728/0000912728-19-000047-index.htm
144,First American Financial Corp,10-K,1472787,20190220,http://www.sec.gov/Archives/edgar/data/1472787/0001564590-19-003456-index.htm
145,"Four Corners Property Trust, Inc.",10-K,1650132,20190220,http://www.sec.gov/Archives/edgar/data/1650132/0001650132-19-000029-index.htm
146,GARMIN LTD,10-K,1121788,20190220,http://www.sec.gov/Archives/edgar/data/1121788/0001615774-19-002739-index.htm
147,GEORGIA POWER CO,10-K,41091,20190220,http://www.sec.gov/Archives/edgar/data/41091/0000092122-19-000006-index.htm
148,"Grand Canyon Education, Inc.",10-K,1434588,20190220,http://www.sec.gov/Archives/edgar/data/1434588/0001558370-19-000782-index.htm
149,Green Plains Inc.,10-K,1309402,20190220,http://www.sec.gov/Archives/edgar/data/1309402/0001309402-19-000024-index.htm
150,Green Plains Partners LP,10-K,1635650,20190220,http://www.sec.gov/Archives/edgar/data/1635650/0001635650-19-000007-index.htm
151,HENRY SCHEIN INC,10-K,1000228,20190220,http://www.sec.gov/Archives/edgar/data/1000228/0001000228-19-000015-index.htm
152,HOLLY ENERGY PARTNERS LP,10-K,1283140,20190220,http://www.sec.gov/Archives/edgar/data/1283140/0001283140-19-000007-index.htm
153,Hi-Crush Partners LP,10-K,1549848,20190220,http://www.sec.gov/Archives/edgar/data/1549848/0001549848-19-000035-index.htm
154,HollyFrontier Corp,10-K,48039,20190220,http://www.sec.gov/Archives/edgar/data/48039/0000048039-19-000012-index.htm
155,INNOSPEC INC.,10-K,1054905,20190220,http://www.sec.gov/Archives/edgar/data/1054905/0001193125-19-044946-index.htm
156,INSTRUCTURE INC,10-K,1355754,20190220,http://www.sec.gov/Archives/edgar/data/1355754/0001564590-19-003461-index.htm
157,INTERNATIONAL PAPER CO /NEW/,10-K,51434,20190220,http://www.sec.gov/Archives/edgar/data/51434/0000051434-19-000007-index.htm
158,Ingevity Corp,10-K,1653477,20190220,http://www.sec.gov/Archives/edgar/data/1653477/0001653477-19-000011-index.htm
159,"Inovalon Holdings, Inc.",10-K,1619954,20190220,http://www.sec.gov/Archives/edgar/data/1619954/0001619954-19-000032-index.htm
160,Invesco Mortgage Capital Inc.,10-K,1437071,20190220,http://www.sec.gov/Archives/edgar/data/1437071/0001437071-19-000006-index.htm
161,JOHNSON & JOHNSON,10-K,200406,20190220,http://www.sec.gov/Archives/edgar/data/200406/0000200406-19-000009-index.htm
162,KEMPER Corp,10-K,860748,20190220,http://www.sec.gov/Archives/edgar/data/860748/0000860748-19-000052-index.htm
163,KKR Real Estate Finance Trust Inc.,10-K,1631596,20190220,http://www.sec.gov/Archives/edgar/data/1631596/0001631596-19-000005-index.htm
164,LINCOLN NATIONAL CORP,10-K,59558,20190220,http://www.sec.gov/Archives/edgar/data/59558/0000059558-19-000010-index.htm
165,Landmark Infrastructure Partners LP,10-K,1615346,20190220,http://www.sec.gov/Archives/edgar/data/1615346/0001564590-19-003360-index.htm
166,"Lantheus Holdings, Inc.",10-K,1521036,20190220,http://www.sec.gov/Archives/edgar/data/1521036/0001628280-19-001574-index.htm
167,LendingClub Corp,10-K,1409970,20190220,http://www.sec.gov/Archives/edgar/data/1409970/0001409970-19-000222-index.htm
168,M&T BANK CORP,10-K,36270,20190220,http://www.sec.gov/Archives/edgar/data/36270/0001564590-19-003467-index.htm
169,MACK CALI REALTY CORP,10-K,924901,20190220,http://www.sec.gov/Archives/edgar/data/924901/0001104659-19-009587-index.htm
170,MACK CALI REALTY L P,10-K,1067063,20190220,http://www.sec.gov/Archives/edgar/data/1067063/0001104659-19-009587-index.htm
171,MARKETAXESS HOLDINGS INC,10-K,1278021,20190220,http://www.sec.gov/Archives/edgar/data/1278021/0001564590-19-003476-index.htm
172,MICROSTRATEGY Inc,10-K,1050446,20190220,http://www.sec.gov/Archives/edgar/data/1050446/0001564590-19-003468-index.htm
173,MISSISSIPPI POWER CO,10-K,66904,20190220,http://www.sec.gov/Archives/edgar/data/66904/0000092122-19-000006-index.htm
174,Macquarie Infrastructure Corp,10-K,1289790,20190220,http://www.sec.gov/Archives/edgar/data/1289790/0001144204-19-009151-index.htm
175,McEwen Mining Inc.,10-K,314203,20190220,http://www.sec.gov/Archives/edgar/data/314203/0001558370-19-000788-index.htm
176,NATIONAL HEALTHCARE CORP,10-K,1047335,20190220,http://www.sec.gov/Archives/edgar/data/1047335/0001437749-19-002958-index.htm
177,NISOURCE INC/DE,10-K,1111711,20190220,http://www.sec.gov/Archives/edgar/data/1111711/0001111711-19-000008-index.htm
178,NUVASIVE INC,10-K,1142596,20190220,http://www.sec.gov/Archives/edgar/data/1142596/0001564590-19-003470-index.htm
179,ON SEMICONDUCTOR CORP,10-K,1097864,20190220,http://www.sec.gov/Archives/edgar/data/1097864/0001193125-19-045025-index.htm
180,"ONE Gas, Inc.",10-K,1587732,20190220,http://www.sec.gov/Archives/edgar/data/1587732/0001587732-19-000013-index.htm
181,Owens Corning,10-K,1370946,20190220,http://www.sec.gov/Archives/edgar/data/1370946/0001370946-19-000012-index.htm
182,PEGASYSTEMS INC,10-K,1013857,20190220,http://www.sec.gov/Archives/edgar/data/1013857/0001013857-19-000005-index.htm
183,PITNEY BOWES INC /DE/,10-K,78814,20190220,http://www.sec.gov/Archives/edgar/data/78814/0000078814-19-000004-index.htm
184,"Piedmont Office Realty Trust, Inc.",10-K,1042776,20190220,http://www.sec.gov/Archives/edgar/data/1042776/0001042776-19-000036-index.htm
185,"QEP RESOURCES, INC.",10-K,1108827,20190220,http://www.sec.gov/Archives/edgar/data/1108827/0001108827-19-000010-index.htm
186,"QUANTUM BUSINESS STRATEGIES, INC.",10-K,1697730,20190220,http://www.sec.gov/Archives/edgar/data/1697730/0001477932-19-000585-index.htm
187,"Quad/Graphics, Inc.",10-K,1481792,20190220,http://www.sec.gov/Archives/edgar/data/1481792/0001481792-19-000006-index.htm
188,RETAIL OPPORTUNITY INVESTMENTS CORP,10-K,1407623,20190220,http://www.sec.gov/Archives/edgar/data/1407623/0001628280-19-001583-index.htm
189,"Retail Opportunity Investments Partnership, LP",10-K,1577230,20190220,http://www.sec.gov/Archives/edgar/data/1577230/0001628280-19-001583-index.htm
190,SEABOARD CORP /DE/,10-K,88121,20190220,http://www.sec.gov/Archives/edgar/data/88121/0000088121-19-000011-index.htm
191,SERVICE CORP INTERNATIONAL,10-K,89089,20190220,http://www.sec.gov/Archives/edgar/data/89089/0000089089-19-000005-index.htm
192,SOUTHERN CO,10-K,92122,20190220,http://www.sec.gov/Archives/edgar/data/92122/0000092122-19-000006-index.htm
193,SOUTHERN Co GAS,10-K,1004155,20190220,http://www.sec.gov/Archives/edgar/data/1004155/0000092122-19-000006-index.htm
194,SOUTHERN POWER CO,10-K,1160661,20190220,http://www.sec.gov/Archives/edgar/data/1160661/0000092122-19-000006-index.htm
195,SRC Energy Inc.,10-K,1413507,20190220,http://www.sec.gov/Archives/edgar/data/1413507/0001413507-19-000054-index.htm
196,"STANDARD MOTOR PRODUCTS, INC.",10-K,93389,20190220,http://www.sec.gov/Archives/edgar/data/93389/0001140361-19-003526-index.htm
197,STIFEL FINANCIAL CORP,10-K,720672,20190220,http://www.sec.gov/Archives/edgar/data/720672/0001564590-19-003474-index.htm
198,STURM RUGER & CO INC,10-K,95029,20190220,http://www.sec.gov/Archives/edgar/data/95029/0001174947-19-000236-index.htm
199,Sipup Corp,10-K,1563227,20190220,http://www.sec.gov/Archives/edgar/data/1563227/0001213900-19-002900-index.htm
200,Six Flags Entertainment Corp,10-K,701374,20190220,http://www.sec.gov/Archives/edgar/data/701374/0000701374-19-000048-index.htm
201,"Summer Infant, Inc.",10-K,1314772,20190220,http://www.sec.gov/Archives/edgar/data/1314772/0001047469-19-000567-index.htm
202,"TPG Specialty Lending, Inc.",10-K,1508655,20190220,http://www.sec.gov/Archives/edgar/data/1508655/0001564590-19-003442-index.htm
203,TYLER TECHNOLOGIES INC,10-K,860731,20190220,http://www.sec.gov/Archives/edgar/data/860731/0000860731-19-000009-index.htm
204,Taylor Morrison Home Corp,10-K,1562476,20190220,http://www.sec.gov/Archives/edgar/data/1562476/0001628280-19-001592-index.htm
205,TimkenSteel Corp,10-K,1598428,20190220,http://www.sec.gov/Archives/edgar/data/1598428/0001598428-19-000018-index.htm
206,"U.S. SILICA HOLDINGS, INC.",10-K,1524741,20190220,http://www.sec.gov/Archives/edgar/data/1524741/0001628280-19-001568-index.htm
207,UNIVERSAL STAINLESS & ALLOY PRODUCTS INC,10-K,931584,20190220,http://www.sec.gov/Archives/edgar/data/931584/0001564590-19-003431-index.htm
208,Ultragenyx Pharmaceutical Inc.,10-K,1515673,20190220,http://www.sec.gov/Archives/edgar/data/1515673/0001564590-19-003324-index.htm
