,Unnamed: 0,Company Name,Form Type,CIK,Date Filed,URL,EX21
47,47,Graham Holdings Co,10-K,104889,20190225,http://www.sec.gov/Archives/edgar/data/104889/0000104889-19-000013-index.htm,/Archives/edgar/data/104889/000010488919000013/dex21.htm
48,48,HEALTHSTREAM INC,10-K,1095565,20190225,http://www.sec.gov/Archives/edgar/data/1095565/0001564590-19-004096-index.htm,/Archives/edgar/data/1095565/000156459019004096/hstm-ex211_14.htm
49,49,HERTZ CORP,10-K,47129,20190225,http://www.sec.gov/Archives/edgar/data/47129/0001657853-19-000005-index.htm,/Archives/edgar/data/47129/000165785319000005/a2018hghthc10-kexhibit211.htm
50,50,"HERTZ GLOBAL HOLDINGS, INC",10-K,1657853,20190225,http://www.sec.gov/Archives/edgar/data/1657853/0001657853-19-000005-index.htm,/Archives/edgar/data/47129/000165785319000005/a2018hghthc10-kexhibit211.htm
51,51,HMS HOLDINGS CORP,10-K,1196501,20190225,http://www.sec.gov/Archives/edgar/data/1196501/0001171843-19-001183-index.htm,/Archives/edgar/data/1196501/000117184319001183/exh_211.htm
52,52,"INTERPUBLIC GROUP OF COMPANIES, INC.",10-K,51644,20190225,http://www.sec.gov/Archives/edgar/data/51644/0000051644-19-000009-index.htm,/Archives/edgar/data/51644/000005164419000009/ipg12311810kex21.htm
53,53,IRONWOOD PHARMACEUTICALS INC,10-K,1446847,20190225,http://www.sec.gov/Archives/edgar/data/1446847/0001558370-19-001005-index.htm,/Archives/edgar/data/1446847/000155837019001005/irwd-20181231ex2112caa1b.htm
54,54,Ingredion Inc,10-K,1046257,20190225,http://www.sec.gov/Archives/edgar/data/1046257/0001558370-19-000999-index.htm,/Archives/edgar/data/1046257/000155837019000999/ingr-20181231ex2114551cb.htm
55,55,KAMAN Corp,10-K,54381,20190225,http://www.sec.gov/Archives/edgar/data/54381/0000054381-19-000009-index.htm,/Archives/edgar/data/54381/000005438119000009/kamn-12312018ex21.htm
56,56,KELLOGG CO,10-K,55067,20190225,http://www.sec.gov/Archives/edgar/data/55067/0001628280-19-001864-index.htm,/Archives/edgar/data/55067/000162828019001864/k-2018q4exx2101.htm
57,57,KEYCORP /NEW/,10-K,91576,20190225,http://www.sec.gov/Archives/edgar/data/91576/0000091576-19-000009-index.htm,/Archives/edgar/data/91576/000009157619000009/key-123118x10kexx21.htm
58,58,LAMAR ADVERTISING CO/NEW,10-K,1090425,20190225,http://www.sec.gov/Archives/edgar/data/1090425/0001564590-19-004025-index.htm,/Archives/edgar/data/899045/000156459019004025/lamr-ex21a_8.htm
59,59,LAMAR MEDIA CORP/DE,10-K,899045,20190225,http://www.sec.gov/Archives/edgar/data/899045/0001564590-19-004025-index.htm,/Archives/edgar/data/899045/000156459019004025/lamr-ex21a_8.htm
60,60,LITHIA MOTORS INC,10-K,1023128,20190225,http://www.sec.gov/Archives/edgar/data/1023128/0001023128-19-000042-index.htm,/Archives/edgar/data/1023128/000102312819000042/lad2018q4-10k_ex21.htm
61,61,LIVEPERSON INC,10-K,1102993,20190225,http://www.sec.gov/Archives/edgar/data/1102993/0001102993-19-000016-index.htm,/Archives/edgar/data/1102993/000110299319000016/a2018q4livepersonex211.htm
62,62,MACERICH CO,10-K,912242,20190225,http://www.sec.gov/Archives/edgar/data/912242/0000912242-19-000004-index.htm,/Archives/edgar/data/912242/000091224219000004/mac-2018x1231x10kxex211xsu.htm
63,63,MARTIN MARIETTA MATERIALS INC,10-K,916076,20190225,http://www.sec.gov/Archives/edgar/data/916076/0001193125-19-049961-index.htm,/Archives/edgar/data/916076/000119312519049961/d640896dex2101.htm
64,64,MCDERMOTT INTERNATIONAL INC,10-K,708819,20190225,http://www.sec.gov/Archives/edgar/data/708819/0001564590-19-003980-index.htm,/Archives/edgar/data/708819/000156459019003980/mdr-ex211_10.htm
66,66,MIDAMERICAN ENERGY CO,10-K,928576,20190225,http://www.sec.gov/Archives/edgar/data/928576/0001081316-19-000003-index.htm,/Archives/edgar/data/71180/000108131619000003/bhe123118ex211.htm
67,67,MIDAMERICAN FUNDING LLC,10-K,1098296,20190225,http://www.sec.gov/Archives/edgar/data/1098296/0001081316-19-000003-index.htm,/Archives/edgar/data/71180/000108131619000003/bhe123118ex211.htm
69,69,MOODYS CORP /DE/,10-K,1059556,20190225,http://www.sec.gov/Archives/edgar/data/1059556/0001193125-19-048576-index.htm,/Archives/edgar/data/1059556/000119312519048576/d679514dex21.htm
70,70,"MedEquities Realty Trust, Inc.",10-K,1616314,20190225,http://www.sec.gov/Archives/edgar/data/1616314/0001564590-19-004100-index.htm,/Archives/edgar/data/1616314/000156459019004100/mrt-ex211_10.htm
72,72,NANOMETRICS INC,10-K,704532,20190225,http://www.sec.gov/Archives/edgar/data/704532/0001564590-19-004083-index.htm,/Archives/edgar/data/704532/000156459019004083/nano-ex211_12.htm
73,73,NEVADA POWER CO,10-K,71180,20190225,http://www.sec.gov/Archives/edgar/data/71180/0001081316-19-000003-index.htm,/Archives/edgar/data/71180/000108131619000003/bhe123118ex211.htm
74,74,NEW YORK MORTGAGE TRUST INC,10-K,1273685,20190225,http://www.sec.gov/Archives/edgar/data/1273685/0001273685-19-000020-index.htm,/Archives/edgar/data/1273685/000127368519000020/ex211deconly.htm
76,76,National General Holdings Corp.,10-K,1578735,20190225,http://www.sec.gov/Archives/edgar/data/1578735/0001578735-19-000009-index.htm,/Archives/edgar/data/1578735/000157873519000009/nghc12312018ex211.htm
77,77,OLIN CORP,10-K,74303,20190225,http://www.sec.gov/Archives/edgar/data/74303/0000074303-19-000018-index.htm,/Archives/edgar/data/74303/000007430319000018/oln-2018xexhibit21.htm
78,78,Orthofix Medical Inc.,10-K,884624,20190225,http://www.sec.gov/Archives/edgar/data/884624/0001564590-19-004093-index.htm,/Archives/edgar/data/884624/000156459019004093/ofix-ex211_13.htm
79,79,PACIFICORP /OR/,10-K,75594,20190225,http://www.sec.gov/Archives/edgar/data/75594/0001081316-19-000003-index.htm,/Archives/edgar/data/71180/000108131619000003/bhe123118ex211.htm
80,80,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,10-K,77281,20190225,http://www.sec.gov/Archives/edgar/data/77281/0000077281-19-000017-index.htm,/Archives/edgar/data/77281/000007728119000017/a2018q4exhibit21.htm
81,81,PGI INC,10-K,81157,20190225,http://www.sec.gov/Archives/edgar/data/81157/0001654954-19-001940-index.htm,/Archives/edgar/data/81157/000165495419001940/pgai_ex21.htm
82,82,"QTS Realty Trust, Inc.",10-K,1577368,20190225,http://www.sec.gov/Archives/edgar/data/1577368/0001558370-19-000991-index.htm,/Archives/edgar/data/1561164/000155837019000991/qts-20181231ex211e4d6be.htm
83,83,"QualityTech, LP",10-K,1561164,20190225,http://www.sec.gov/Archives/edgar/data/1561164/0001558370-19-000991-index.htm,/Archives/edgar/data/1561164/000155837019000991/qts-20181231ex211e4d6be.htm
84,84,RANGE RESOURCES CORP,10-K,315852,20190225,http://www.sec.gov/Archives/edgar/data/315852/0001564590-19-004113-index.htm,/Archives/edgar/data/315852/000156459019004113/rrc-ex211_13.htm
85,85,ROPER TECHNOLOGIES INC,10-K,882835,20190225,http://www.sec.gov/Archives/edgar/data/882835/0000882835-19-000010-index.htm,/Archives/edgar/data/882835/000088283519000010/a201810-kex211.htm
86,86,RUSH ENTERPRISES INC \TX\,10-K,1012019,20190225,http://www.sec.gov/Archives/edgar/data/1012019/0001437749-19-003282-index.htm,/Archives/edgar/data/1012019/000143774919003282/ex_135421.htm
87,87,SAIA INC,10-K,1177702,20190225,http://www.sec.gov/Archives/edgar/data/1177702/0001564590-19-004105-index.htm,/Archives/edgar/data/1177702/000156459019004105/saia-ex211_9.htm
88,88,SEI INVESTMENTS CO,10-K,350894,20190225,http://www.sec.gov/Archives/edgar/data/350894/0000350894-19-000012-index.htm,/Archives/edgar/data/350894/000035089419000012/seic-12311810kex21.htm
89,89,SIERRA PACIFIC POWER CO,10-K,90144,20190225,http://www.sec.gov/Archives/edgar/data/90144/0001081316-19-000003-index.htm,/Archives/edgar/data/71180/000108131619000003/bhe123118ex211.htm
90,90,"Sabra Health Care REIT, Inc.",10-K,1492298,20190225,http://www.sec.gov/Archives/edgar/data/1492298/0001492298-19-000006-index.htm,/Archives/edgar/data/1492298/000149229819000006/sbraex2112018.htm
91,91,Shake Shack Inc.,10-K,1620533,20190225,http://www.sec.gov/Archives/edgar/data/1620533/0001620533-19-000010-index.htm,/Archives/edgar/data/1620533/000162053319000010/shak-20181226_exhibit21.htm
92,92,SolarWinds Corp,10-K,1739942,20190225,http://www.sec.gov/Archives/edgar/data/1739942/0001739942-19-000010-index.htm,/Archives/edgar/data/1739942/000173994219000010/swi-20181231xexx211.htm
93,93,TELEDYNE TECHNOLOGIES INC,10-K,1094285,20190225,http://www.sec.gov/Archives/edgar/data/1094285/0001094285-19-000064-index.htm,/Archives/edgar/data/1094285/000109428519000064/tdy-ex21subsidiariesoftele.htm
94,94,"TEMPUR SEALY INTERNATIONAL, INC.",10-K,1206264,20190225,http://www.sec.gov/Archives/edgar/data/1206264/0001206264-19-000047-index.htm,/Archives/edgar/data/1206264/000120626419000047/exhibit211-tpxx201810k.htm
95,95,TENET HEALTHCARE CORP,10-K,70318,20190225,http://www.sec.gov/Archives/edgar/data/70318/0000070318-19-000017-index.htm,/Archives/edgar/data/70318/000007031819000017/thc-21081231ex21.htm
96,96,TEREX CORP,10-K,97216,20190225,http://www.sec.gov/Archives/edgar/data/97216/0000097216-19-000024-index.htm,/Archives/edgar/data/97216/000009721619000024/tex123118ex-211.htm
97,97,"Under Armour, Inc.",10-K,1336917,20190225,http://www.sec.gov/Archives/edgar/data/1336917/0001336917-19-000011-index.htm,/Archives/edgar/data/1336917/000133691719000011/ua-12312018xex2101.htm
100,100,VBI Vaccines Inc/BC,10-K,764195,20190225,http://www.sec.gov/Archives/edgar/data/764195/0001493152-19-002481-index.htm,/Archives/edgar/data/764195/000149315219002481/ex21-1.htm
101,101,VEECO INSTRUMENTS INC,10-K,103145,20190225,http://www.sec.gov/Archives/edgar/data/103145/0001558370-19-000983-index.htm,/Archives/edgar/data/103145/000155837019000983/veco-20181231ex211498c86.htm
103,103,VISTA GOLD CORP,10-K,783324,20190225,http://www.sec.gov/Archives/edgar/data/783324/0000783324-19-000004-index.htm,/Archives/edgar/data/783324/000078332419000004/c324-20181231ex21dc2c3e8.htm
104,104,W. P. Carey Inc.,10-K,1025378,20190225,http://www.sec.gov/Archives/edgar/data/1025378/0001025378-19-000008-index.htm,/Archives/edgar/data/1025378/000102537819000008/wpc201810-kexh211.htm
105,105,WELLTOWER INC.,10-K,766704,20190225,http://www.sec.gov/Archives/edgar/data/766704/0000766704-19-000014-index.htm,/Archives/edgar/data/766704/000076670419000014/exhibit21-10xk2018new.htm
106,106,Wayfair Inc.,10-K,1616707,20190225,http://www.sec.gov/Archives/edgar/data/1616707/0001616707-19-000042-index.htm,/Archives/edgar/data/1616707/000161670719000042/a2018-12x31exx211.htm
107,107,XEROX CORP,10-K,108772,20190225,http://www.sec.gov/Archives/edgar/data/108772/0000108772-19-000011-index.htm,/Archives/edgar/data/108772/000010877219000011/xrx-123118xex21.htm
108,108,BRIDGFORD FOODS CORP,10-K,14177,20190118,http://www.sec.gov/Archives/edgar/data/14177/0001493152-19-000765-index.htm,/Archives/edgar/data/14177/000149315219000765/ex21-1.htm
110,110,IHS Markit Ltd.,10-K,1598014,20190118,http://www.sec.gov/Archives/edgar/data/1598014/0001598014-19-000017-index.htm,/Archives/edgar/data/1598014/000159801419000017/ex211q418.htm
111,111,AIMCO PROPERTIES L.P.,10-K,926660,20190220,http://www.sec.gov/Archives/edgar/data/926660/0000922864-19-000007-index.htm,/Archives/edgar/data/922864/000092286419000007/aiv-ex211q42018.htm
112,112,ALABAMA POWER CO,10-K,3153,20190220,http://www.sec.gov/Archives/edgar/data/3153/0000092122-19-000006-index.htm,/Archives/edgar/data/3153/000009212219000006/ex21a_2018x10k.htm
113,113,ALLEGHANY CORP /DE,10-K,775368,20190220,http://www.sec.gov/Archives/edgar/data/775368/0001193125-19-045528-index.htm,/Archives/edgar/data/775368/000119312519045528/d666096dex21.htm
114,114,APARTMENT INVESTMENT & MANAGEMENT CO,10-K,922864,20190220,http://www.sec.gov/Archives/edgar/data/922864/0000922864-19-000007-index.htm,/Archives/edgar/data/922864/000092286419000007/aiv-ex211q42018.htm
115,115,AT&T INC.,10-K,732717,20190220,http://www.sec.gov/Archives/edgar/data/732717/0001193125-19-045608-index.htm,/Archives/edgar/data/732717/000119312519045608/d705958dex21.htm
116,116,AVISTA CORP,10-K,104918,20190220,http://www.sec.gov/Archives/edgar/data/104918/0000104918-19-000053-index.htm,/Archives/edgar/data/104918/000010491819000053/ava-20181231xex21.htm
117,117,Ally Financial Inc.,10-K,40729,20190220,http://www.sec.gov/Archives/edgar/data/40729/0000040729-19-000010-index.htm,/Archives/edgar/data/40729/000004072919000010/ally2018123110-kexhibit21.htm
118,118,"Anthem, Inc.",10-K,1156039,20190220,http://www.sec.gov/Archives/edgar/data/1156039/0001156039-19-000004-index.htm,/Archives/edgar/data/1156039/000115603919000004/exhibit21-20181231for10xk.htm
119,119,"Archrock Partners, L.P.",10-K,1367064,20190220,http://www.sec.gov/Archives/edgar/data/1367064/0001367064-19-000003-index.htm,/Archives/edgar/data/1367064/000136706419000003/a201810kex211aplp.htm
120,120,"Archrock, Inc.",10-K,1389050,20190220,http://www.sec.gov/Archives/edgar/data/1389050/0001389050-19-000021-index.htm,/Archives/edgar/data/1389050/000138905019000021/a201810kex211aroc.htm
121,121,Artisan Partners Asset Management Inc.,10-K,1517302,20190220,http://www.sec.gov/Archives/edgar/data/1517302/0001517302-19-000012-index.htm,/Archives/edgar/data/1517302/000151730219000012/apam-ex211x2018x12x31.htm
122,122,BELDEN INC.,10-K,913142,20190220,http://www.sec.gov/Archives/edgar/data/913142/0000913142-19-000004-index.htm,/Archives/edgar/data/913142/000091314219000004/exhibit211.htm
123,123,BLACKBAUD INC,10-K,1280058,20190220,http://www.sec.gov/Archives/edgar/data/1280058/0001280058-19-000007-index.htm,/Archives/edgar/data/1280058/000128005819000007/a201810-kexx211.htm
124,124,BOSTON BEER CO INC,10-K,949870,20190220,http://www.sec.gov/Archives/edgar/data/949870/0001193125-19-045425-index.htm,/Archives/edgar/data/949870/000119312519045425/d681882dex215.htm
125,125,Bausch Health Companies Inc.,10-K,885590,20190220,http://www.sec.gov/Archives/edgar/data/885590/0000885590-19-000006-index.htm,/Archives/edgar/data/885590/000088559019000006/exhibit2112018ye.htm
127,127,CAPITAL ONE FINANCIAL CORP,10-K,927628,20190220,http://www.sec.gov/Archives/edgar/data/927628/0000927628-19-000093-index.htm,/Archives/edgar/data/927628/000092762819000093/cof-12312018x10kxex21.htm
128,128,CAREER EDUCATION CORP,10-K,1046568,20190220,http://www.sec.gov/Archives/edgar/data/1046568/0001564590-19-003457-index.htm,/Archives/edgar/data/1046568/000156459019003457/ceco-ex21_10.htm
129,129,CIMAREX ENERGY CO,10-K,1168054,20190220,http://www.sec.gov/Archives/edgar/data/1168054/0001168054-19-000006-index.htm,/Archives/edgar/data/1168054/000116805419000006/a12311810kex-211xec.htm
130,130,CONCHO RESOURCES INC,10-K,1358071,20190220,http://www.sec.gov/Archives/edgar/data/1358071/0001358071-19-000003-index.htm,/Archives/edgar/data/1358071/000135807119000003/cxoexhibit211.htm
131,131,"Coeur Mining, Inc.",10-K,215466,20190220,http://www.sec.gov/Archives/edgar/data/215466/0000215466-19-000057-index.htm,/Archives/edgar/data/215466/000021546619000057/cde-12311810kex21.htm
132,132,DEVON ENERGY CORP/DE,10-K,1090012,20190220,http://www.sec.gov/Archives/edgar/data/1090012/0001564590-19-003382-index.htm,/Archives/edgar/data/1090012/000156459019003382/dvn-ex21_12.htm
133,133,Discover Financial Services,10-K,1393612,20190220,http://www.sec.gov/Archives/edgar/data/1393612/0001393612-19-000011-index.htm,/Archives/edgar/data/1393612/000139361219000011/dfsex2112312018.htm
134,134,E TRADE FINANCIAL CORP,10-K,1015780,20190220,http://www.sec.gov/Archives/edgar/data/1015780/0001015780-19-000060-index.htm,/Archives/edgar/data/1015780/000101578019000060/etfc-20181231xex211.htm
135,135,Elanco Animal Health Inc,10-K,1739104,20190220,http://www.sec.gov/Archives/edgar/data/1739104/0001739104-19-000006-index.htm,/Archives/edgar/data/1739104/000173910419000006/elanco-20181231exhibit211s.htm
136,136,"EnLink Midstream Partners, LP",10-K,1179060,20190220,http://www.sec.gov/Archives/edgar/data/1179060/0001179060-19-000008-index.htm,/Archives/edgar/data/1179060/000117906019000008/ex-2112018enlk.htm
137,137,"EnLink Midstream, LLC",10-K,1592000,20190220,http://www.sec.gov/Archives/edgar/data/1592000/0001592000-19-000007-index.htm,/Archives/edgar/data/1592000/000159200019000007/ex2112018enlc.htm
138,138,FIRST CITIZENS BANCSHARES INC /DE/,10-K,798941,20190220,http://www.sec.gov/Archives/edgar/data/798941/0000798941-19-000009-index.htm,/Archives/edgar/data/798941/000079894119000009/fcnca_exhibit21x12312018.htm
139,139,FIRST INDUSTRIAL LP,10-K,1033128,20190220,http://www.sec.gov/Archives/edgar/data/1033128/0000921825-19-000003-index.htm,/Archives/edgar/data/921825/000092182519000003/fr-20181231xex211.htm
140,140,FIRST INDUSTRIAL REALTY TRUST INC,10-K,921825,20190220,http://www.sec.gov/Archives/edgar/data/921825/0000921825-19-000003-index.htm,/Archives/edgar/data/921825/000092182519000003/fr-20181231xex211.htm
141,141,FLOWERS FOODS INC,10-K,1128928,20190220,http://www.sec.gov/Archives/edgar/data/1128928/0001564590-19-003388-index.htm,/Archives/edgar/data/1128928/000156459019003388/flo-ex21_9.htm
142,142,FLOWSERVE CORP,10-K,30625,20190220,http://www.sec.gov/Archives/edgar/data/30625/0000030625-19-000009-index.htm,/Archives/edgar/data/30625/000003062519000009/fls1231201810kex211.htm
143,143,FORWARD AIR CORP,10-K,912728,20190220,http://www.sec.gov/Archives/edgar/data/912728/0000912728-19-000047-index.htm,/Archives/edgar/data/912728/000091272819000047/fwrdex2112018.htm
144,144,First American Financial Corp,10-K,1472787,20190220,http://www.sec.gov/Archives/edgar/data/1472787/0001564590-19-003456-index.htm,/Archives/edgar/data/1472787/000156459019003456/faf-ex21_142.htm
145,145,"Four Corners Property Trust, Inc.",10-K,1650132,20190220,http://www.sec.gov/Archives/edgar/data/1650132/0001650132-19-000029-index.htm,/Archives/edgar/data/1650132/000165013219000029/fcpt201810-kexhibit211subs.htm
146,146,GARMIN LTD,10-K,1121788,20190220,http://www.sec.gov/Archives/edgar/data/1121788/0001615774-19-002739-index.htm,/Archives/edgar/data/1121788/000161577419002739/s116041_ex21-1.htm
147,147,GEORGIA POWER CO,10-K,41091,20190220,http://www.sec.gov/Archives/edgar/data/41091/0000092122-19-000006-index.htm,/Archives/edgar/data/3153/000009212219000006/ex21a_2018x10k.htm
148,148,"Grand Canyon Education, Inc.",10-K,1434588,20190220,http://www.sec.gov/Archives/edgar/data/1434588/0001558370-19-000782-index.htm,/Archives/edgar/data/1434588/000155837019000782/lope-20181231ex21005d7a7.htm
149,149,Green Plains Inc.,10-K,1309402,20190220,http://www.sec.gov/Archives/edgar/data/1309402/0001309402-19-000024-index.htm,/Archives/edgar/data/1309402/000130940219000024/gpre-20181231xex21_1.htm
150,150,Green Plains Partners LP,10-K,1635650,20190220,http://www.sec.gov/Archives/edgar/data/1635650/0001635650-19-000007-index.htm,/Archives/edgar/data/1635650/000163565019000007/gpp-20181231xex21_1.htm
151,151,HENRY SCHEIN INC,10-K,1000228,20190220,http://www.sec.gov/Archives/edgar/data/1000228/0001000228-19-000015-index.htm,/Archives/edgar/data/1000228/000100022819000015/exhibit211.htm
